departement,nb_communes,population_2009,menages_2009,naissances_2011,deces_2011,logements_2009,residencesprincipales_2009,residencessec_2009,logvacants_2009,residencesprincipales_proprietaire_2009,ffiscaux_2009,ffiscaux_imposables_2009,revenufiscalmedianmoyen_2010,emploi_2009,population_1564_2009,chomage_1564_2009,actifs_1564_2009,ets_2010,ets_agri_2010,ets_indus_2010,ets_construc_2010,ets_comm_plus_services_2010,ets_comm_2010,ets_admin_2010,ets_service_2010,ets_1_9_2010,ets_10plus_2010,ratio_imposable_2009
48,185,77162.999999999971,33651.59045226076,695,941,57254.439409967541,33651.59045226076,18886.42538255587,4716.4235751509113,21539.700375733348,44169,20499,15699.184782608696,32252.850167227549,48278.274541392631,2458.0257810344001,34065.227599250815,11072,3663,677,917,4366,1126,1449,3240,2463,491,0.46410378319635942
69,293,1708671,737724.44240409089,25921,11648,810341.28973998642,737724.44240409089,18300.881774547481,54315.965561348377,360227.26831301645,952694,562342,20913.287456445993,822447.04417352297,1129741.6706838999,86196.092929347767,815065.49650025158,160824,9219,9158,13666,106429,29131,22352,77298,44822,12711,0.59026507986824728
28,403,425502.00000000006,174629.7411669335,5540,3673,201760.01405286032,174629.7411669335,13468.755099626409,13661.517786300243,115125.85043692321,235245,134867,20221.23076923077,151311.53270388846,271778.52669002424,20584.311698556114,201640.19594437556,31306,5230,2100,3157,16681,5199,4138,11482,8937,2330,0.57330442729919873
30,353,701883,303042.74065672111,8467,6567,381902.14648038731,303042.74065672111,48741.801823543443,30117.604000123632,179120.01334154094,407283,191717,17176.902077151335,237914.82345961861,444846.08155901445,47478.78836162253,305920.30811810482,70263,9364,4316,8653,38294,11990,9636,26304,17310,3342,0.47072183223949932
60,693,801512,313740.99493746518,11032,6217,342914.06320456922,313740.99493746518,9540.3688181748876,19632.699448929499,195121.78347126444,436825,248778,20564.849999999999,279109.35748505179,531276.2202640255,43184.153465965232,386357.13238282001,50143,4353,3050,5492,29508,8735,7740,20773,15182,3867,0.56951410748011222
81,323,374018.00000000006,163168.12488758203,4006,3916,194483.73781831315,163168.12488758203,14782.541171470313,16533.071759260729,108687.16618283653,216160,100024,17061.84296028881,132626.33083960644,229679.26405216093,19041.053988086715,162108.89742386577,38043,8058,3065,3806,17712,5670,5402,12042,9165,2044,0.46273131014063656
18,290,311022,139939.51085208499,3159,3481,170850.31844066037,139939.51085208499,14148.298158165755,16762.50943040962,92162.366648683659,182491,94179,17591.026119402984,118902.99823181593,193959.56116910512,15582.207872998004,137755.12424857161,24858,4976,1702,2474,12389,3878,3317,8511,7342,1655,0.51607476533089303
50,601,497762,217842.3234658977,5193,5141,278200.16861653642,217842.3234658977,41332.965488479676,19024.879662158928,134637.03605068041,279703,135380,16821.319012797074,197330.842855303,307717.64475630684,20839.386350949739,219806.1632682535,45016,13168,2455,3453,20031,6485,5909,13546,11624,2675,0.48401339992778053
71,573,554720,247306.45460363253,5811,6116,295739.90466633788,247306.45460363253,23417.88270610667,25015.567356598778,153953.81853490591,316446,161813,17999.176125244619,218369.35814226576,342944.91023990262,25829.931393130471,245832.33110456963,47955,10247,3168,4259,23909,7738,6372,16171,13827,3091,0.51134474760306659
64,547,650356,289032.25238925446,6459,6321,358548.00664608733,289032.25238925446,47360.085485814758,22155.6687710183,176999.97490838962,381016,201869,18075.592672413793,267007.76982904662,410448.94372520666,28431.622348878736,293101.24223060213,73663,14162,4251,6559,37971,10220,10720,27751,18430,4059,0.52981764545320931
24,557,412081.99999999994,185226.85753502286,3645,4865,240477.5022741876,185226.85753502286,34402.76069305728,20847.884046107436,125792.55381456431,244597,112322,16500.198019801981,152657.76077457116,249736.85877880669,19651.719947882462,175166.85874854794,45622,11074,2884,5076,21212,6708,5376,14504,11356,2181,0.45921250056214918
57,730,1044898,436244.91724703676,11474,8978,478561.49185962306,436244.91724703676,8037.8391440479127,34278.735468538762,258296.45043886878,574575,278293,19399.311897106109,376085.28469032631,694739.48316641198,57405.718534408144,489982.70732250204,65863,4471,4302,7307,38737,12352,11046,26385,19598,5049,0.48434582082408739
14,706,680908,293072.21034396102,8041,5996,381942.38501853717,293072.21034396102,69327.921648155243,19542.253026420767,165232.0438096055,380841,201262,18681.072368421053,279761.61929500208,440812.0730550235,34207.143052277905,313334.88827530504,58738,8469,3172,5354,33366,9996,8377,23370,16621,3948,0.52846726061532245
93,40,1515983,578228.09185424424,28362,8334,614929.9757637179,578228.09185424424,4659.4903624802992,32042.393546993408,237235.50137448928,827161,415944,16461.400000000001,540053.10891764949,1018547.5477888344,121656.99804839723,738647.8158211126,102883,114,5070,15297,71524,24685,10878,46839,28179,7877,0.50285736392310565
38,533,1197038,497220.75731365662,15739,8116,582632.99688186904,497220.75731365662,50527.479335687618,34884.760232524764,299966.48720406817,658214,381176,20224.291666666668,483053.9064240522,783357.07575361861,54699.953154536903,570684.63309740648,100287,7782,6639,11004,58241,16144,16621,42097,26862,7159,0.57910649120194957
68,377,748614,312346.80147189554,8927,5988,350409.02472425852,312346.80147189554,9132.5271298746211,28929.696122488254,190419.40123979532,409087,236921,22948.549597855228,288090.14618201752,490715.77686350868,42108.243770616362,361970.96814683301,54412,6172,3557,4643,32427,10186,7613,22241,16492,4158,0.57914575628167109
76,745,1250120,537703.92068166647,16146,11197,593620.07798190333,537703.92068166647,21662.782431055821,34253.374869180741,284338.60404889204,699661,371252,19004.198412698413,513993.25020845263,813954.68254402338,70320.681709321143,573427.49041326344,80821,7524,4714,6732,48792,14684,13059,34108,24630,7392,0.53061697021843435
16,404,351563,156917.03623996186,3459,3799,185504.98632096197,156917.03623996186,11230.577397663415,17357.372683336769,104497.33288946333,204422,98700,16529.635170603673,142245.7815219881,219942.37552782072,17993.287378711611,157573.02098776988,33192,7585,2322,3144,15970,5802,4171,10168,8995,2091,0.48282474489047167
10,433,303298,132447.44125530415,3635,2877,151512.32330077421,132447.44125530415,6878.4244159500686,12186.45762952005,77789.27744572566,170911,88499,19234.167159763314,119156.00337409764,193781.34740393169,17332.252789896411,138024.81201896779,27149,6718,1860,2400,12636,3982,3535,8654,8065,1697,0.51780751385223889
46,340,173561.99999999997,79575.45467379097,1423,2118,110544.06287455064,79575.45467379097,21139.885038222255,9828.723162537417,54987.961826459366,101592,47926,16778.137417218542,66329.44467098586,104538.00707539686,7786.5485593350568,74218.369521845758,22704,6250,1494,2289,9937,2984,2734,6953,4994,886,0.47174974407433656
12,304,277047.99999999994,123893.51082738356,2683,3264,169413.23164632125,123893.51082738356,30088.444356549462,15431.276462388216,85915.949596227743,159841,74538,15680.625862068966,112768.16533896379,166526.02512166178,9407.6089343013919,121578.44042225956,36308,11172,2935,3156,14970,4439,4075,10531,7870,1688,0.46632591137442836
972,34,396404,159371.40277327003,4475,2741,192236.99372130338,159371.40277327003,8495.8264717187176,24369.764476314678,87522.160356464927,231461,71332,12456.10294117647,134467.67319593165,259000.32224682072,45513.525808116174,178566.30306584822,55755,4809,3681,5362,36866,9752,5037,27114,8283,2140,0.30818150789981896
72,375,561049.99999999988,241511.39560789091,6810,5187,276168.10168328759,241511.39560789091,13922.806328867351,20733.899746529409,153855.39547048931,309904,163813,17720.264124293786,225314.32519070484,352584.94873998687,27172.635248317427,257460.61700196812,38524,6608,2423,3329,20722,6189,5442,14533,11053,2941,0.52859272548918379
06,163,1079100,495595.84940472699,11999,10670,724251.10295161663,495595.84940472699,169715.80096669603,58939.452580193974,272050.46845558292,679498,382801,19540.186619718308,416092.66299194738,672436.54863507336,53855.359633595734,483852.91469978454,140947,2267,6374,17575,97225,26550,17506,70675,34830,6311,0.56335853821497639
61,505,292210,127582.033533145,3105,3123,158111.00412339033,127582.033533145,17154.779633384125,13374.190956860984,79865.652076801663,165236,78689,17063.167070217918,115444.46346356827,179762.15756738736,14104.014579464338,127396.03697975239,27658,8330,1654,2386,11662,3716,3626,7946,7255,1636,0.47622188869253673
83,153,1007303,445525.80546349112,11146,10441,654145.47082743607,445525.80546349112,171644.74205420254,36974.923309742466,263644.7374565475,617691,328512,18748.136054421768,348046.62383089069,620760.60204342182,55532.050275141097,427950.94902317179,112085,7003,5695,14603,70099,22037,14685,48062,27222,4891,0.5318387349014313
94,47,1318537,552446.19857139559,20991,8311,589569.23978805065,552446.19857139559,7009.6224179088968,30113.418798746203,253592.75098085703,756403,470359,22594.244680851065,513262.96799514949,887772.40094059717,74333.92873663854,670167.04550416674,91631,206,3723,9508,65926,17801,12268,48125,25402,7217,0.62183650778751542
55,500,194003,82212.869206640898,2119,1940,96087.232578559866,82212.869206640898,4822.0996156957244,9052.2637562230975,54261.852661294957,108043,51717,17009.18181818182,68797.304099175599,123998.82009508683,10261.843944102682,88085.077445564806,14726,3365,1080,1229,6520,2026,2532,4494,3998,967,0.47867052932628673
43,260,223121.99999999994,96158.172637858414,2300,2337,135254.06846321531,96158.172637858414,25089.443475114469,14006.45235024248,66072.517304060966,127112,59533,15615.364055299538,82143.91791809586,137740.66717349162,8773.4135139531099,99301.485790094579,23881,6448,2028,2239,10197,3094,2969,7103,5449,1327,0.46835074579898045
62,895,1461257,586639.06500962819,19720,13919,667526.4513615371,586639.06500962819,43997.800400380191,36889.585951529647,336701.38065955986,800805,352230,17259.764417177914,494197.30806433229,946477.85402300325,94908.059580006593,633503.72494027682,83571,9105,4725,7205,47983,16499,14553,31484,24682,7095,0.43984490606327381
40,331,379341,165259.71018612789,3853,3859,228195.80476524343,165259.71018612789,48991.664316373921,13944.430262741591,107384.46764018839,225566,117297,18059.047540983607,142172.65153020254,236139.39714261534,18578.447260420344,169552.52989915659,40554,8977,2436,3975,19925,5879,5241,14046,9838,2119,0.52001188122323405
13,119,1967299,842855.30267076287,25890,16435,936424.79968257155,842855.30267076287,33350.762022841547,60218.734988966738,429527.44983627409,1132168,592068,21226.903361344539,782764.95015163242,1277021.943612329,122618.68607630424,870590.33260200429,190094,7322,10135,18491,123726,36844,30420,86882,48517,11574,0.52295065749959369
51,620,566145,248286.45266157229,7070,4831,274658.8547348401,248286.45266157229,6371.4384905070929,20000.963582760665,127011.75766072908,308365,173331,21023.584245076585,247454.06351831727,376015.6854507972,29585.362888382671,269525.72120713652,54618,17358,2965,3934,23701,7150,6660,16551,15089,3403,0.56209686572730366
09,332,151117,67857.700536269898,1404,1672,101698.42773629013,67857.700536269898,25505.733525449705,8334.9936745705891,45116.300841346558,89010,39859,16282.935096153846,55080.890930543217,92888.985690671499,8207.4082363813886,65322.997892932377,16764,3186,1260,1921,7803,2364,2594,5439,3829,812,0.44780361757105941
31,589,1230819.9960204386,552887.40350542637,16031,8297,614464.40254347224,552887.40350542637,22538.574643600281,39038.424394445385,291439.20395284693,686993,400313,20187.59534368071,571828.53224324086,837899.98495216528,65138.177721573811,607738.86484380567,113584,8604,5714,11690,68469,17554,19107,50915,28906,7963,0.5827031716480372
78,262,1407560,548803.68102779123,19886,8430,590689.220207565,548803.68102779123,12068.658587458531,29816.880592315403,327299.7298752059,744425,517345,27551.849609375,544443.38145999447,930346.36419192096,57889.565169959838,694633.0776320555,100372,1575,4358,8896,70288,17768,15255,52520,25461,7243,0.69495919669543604
19,286,243352,110824.04290655121,2196,3104,147508.63027832707,110824.04290655121,22040.603404004629,14643.983967771273,74226.42421880443,142376,71815,17190.854581673306,100384.16902027024,149004.14287865683,8763.1667539408136,106851.88445166968,27043,7817,1890,2474,11477,3679,3385,7798,6359,1462,0.50440383210653483
44,221,1266358,545645.80544034985,16747,9888,647485.17061609286,545645.80544034985,70180.932190751075,31658.432984991912,341915.56926750613,702745,394566,18187.830316742082,551153.09419707686,826525.43592313793,57318.962780552349,600894.68282883603,99982,7994,5855,9546,61607,16974,14980,44633,27567,7956,0.56146397341852305
84,151,540065,230240.72217898816,7008,4783,273467.59982328623,230240.72217898816,20036.825957432411,23190.051686865725,127665.18341878484,317480,152677,18318.646853146853,213944.02078380814,342241.8078907755,33811.510295903536,239601.26590579006,63326,7751,3817,7400,36535,11747,7823,24788,15832,3337,0.48090273403049011
974,24,816364,284390.01404686278,14124,4002,314053.24664927152,284390.01404686278,6408.0441569164095,23255.188445492407,150377.21662999576,435180,117877,10082.645833333334,238622.4411147075,541183.87458392908,119716.24714548491,356823.73158257309,67303,7544,5326,6523,38129,14237,9781,23892,14660,3769,0.27086952525391794
52,433,185213.99999999997,81711.140685857477,1916,1872,99636.714377049822,81711.140685857477,7512.9344990855334,10412.639192106979,52324.811677450845,106195,51085,17240.731225296444,75118.30868034318,116485.96043576502,9716.4604472624906,82365.829508533032,14497,2921,1181,1230,6787,2371,2378,4416,4368,1025,0.48104901360704366
47,319,329697.00000000006,146414.29387311736,3397,3518,172918.96482460698,146414.29387311736,10122.104345851076,16382.56660563872,93315.815671155811,191290,86828,16550.326666666668,126129.6612879679,201351.19339615697,17277.808027655716,142240.75637030171,34606,8414,2338,3455,16141,5479,4258,10662,9003,1996,0.45390767943959431
22,373,587519,261077.74860962055,6221,6835,338593.80455209198,261077.74860962055,53783.214409737237,23732.841532734299,184299.67857511621,337055,168932,16924.61820652174,222581.77957112627,357048.04126495036,23024.826208376955,252933.32773315551,52386,11874,2971,4973,25599,7603,6969,17996,14129,3154,0.50120010087374467
08,463,283296,120290.88228788099,3137,2746,136964.2950983379,120290.88228788099,5180.8815063409784,11492.531304115812,71537.21352506394,158540,72228,17176.737942122185,99662.210902549617,181539.30533839655,18289.174434611585,125573.62580070883,21286,4237,1604,1994,10228,3386,3223,6842,6059,1436,0.45558218746057777
27,675,582822,235506.08359761641,7738,4893,270102.45715193445,235506.08359761641,19037.290404897012,15559.083149421211,150674.3474929028,321431,177424,19927.785256410258,204030.04253196582,376708.01103585056,31016.958054090897,275604.99001675769,41269,5609,2612,4832,22748,7071,5468,15677,11910,2886,0.55198160725007861
02,816,539870,222949.36055495741,6939,5341,252163.48670009378,222949.36055495741,10037.518232826153,19176.607912310399,139015.62279132649,302247,141465,17589.9584,183575.48166515006,345284.25827442604,34522.588060008871,240139.43230055232,35976,6532,2248,3521,17902,5676,5773,12226,11013,2632,0.46804434783471799
23,260,123583.99999999999,57450.80420852817,967,1949,85706.0195680576,57450.80420852817,17938.839661810121,10316.375697719324,41015.04069869384,74347,31292,15247.019736842105,45597.746848900068,73662.959956817082,5316.3275281490778,51346.359782132822,14528,5296,860,1227,5287,1517,1858,3770,3235,580,0.42089122627678321
35,353,977449,420273.19260647648,13033,7256,482611.59301157627,420273.19260647648,31976.829626301089,30361.570778797963,252558.8512846707,525080,291520,18068.406876790832,437168.16804522462,639653.54330945108,39182.677034008804,465170.44991174614,78311,10937,4364,6595,44716,11897,11699,32819,21182,6434,0.55519158985297479
2A,124,141329.99999999994,59881.636540071122,1422,1444,101033.17565102212,59881.636540071122,37228.425573862907,3923.1135370882107,33389.874271126944,82884,41749,17014.126436781607,56809.564954727299,90498.884160989328,7168.1089523230767,63170.516580933167,20251,1469,950,2837,12708,3415,2287,9293,5275,976,0.50370397181603199
